video_id,clip_id,start_frame,end_frame,action,action_idx
P01_01,P01_01_000060_000076,60,76,palpate landmark,67
P01_01,P01_01_000068_000084,68,84,palpate landmark,67
P01_01,P01_01_000076_000092,76,92,palpate landmark,67
P01_01,P01_01_000084_000100,84,100,palpate landmark,67
P01_01,P01_01_000092_000108,92,108,palpate landmark,67
P01_01,P01_01_000100_000116,100,116,palpate landmark,67
P01_01,P01_01_000103_000119,103,119,palpate landmark,67
P01_01,P01_01_000120_000136,120,136,take swab,107
P01_01,P01_01_000128_000144,128,144,take swab,107
P01_01,P01_01_000136_000152,136,152,take swab,107
P01_01,P01_01_000144_000160,144,160,take swab,107
P01_01,P01_01_000152_000168,152,168,take swab,107
P01_01,P01_01_000160_000176,160,176,take swab,107
P01_01,P01_01_000168_000184,168,184,take swab,107
P01_01,P01_01_000176_000192,176,192,take swab,107
P01_01,P01_01_000184_000200,184,200,take swab,107
P01_01,P01_01_000192_000208,192,208,take swab,107
P01_01,P01_01_000200_000216,200,216,take swab,107
P01_01,P01_01_000208_000224,208,224,take swab,107
P01_01,P01_01_000216_000232,216,232,take swab,107
P01_01,P01_01_000224_000240,224,240,take swab,107
P01_01,P01_01_000232_000248,232,248,take swab,107
P01_01,P01_01_000240_000256,240,256,take swab,107
P01_01,P01_01_000248_000264,248,264,take swab,107
P01_01,P01_01_000256_000272,256,272,take swab,107
P01_01,P01_01_000264_000280,264,280,take swab,107
P01_01,P01_01_000272_000288,272,288,take swab,107
P01_01,P01_01_000280_000296,280,296,take swab,107
P01_01,P01_01_000288_000304,288,304,take swab,107
P01_01,P01_01_000296_000312,296,312,take swab,107
P01_01,P01_01_000304_000320,304,320,take swab,107
P01_01,P01_01_000312_000328,312,328,take swab,107
P01_01,P01_01_000320_000336,320,336,take swab,107
P01_01,P01_01_000328_000344,328,344,take swab,107
P01_01,P01_01_000336_000352,336,352,take swab,107
P01_01,P01_01_000343_000359,343,359,take swab,107
P01_01,P01_01_000360_000376,360,376,prep site,71
P01_01,P01_01_000368_000384,368,384,prep site,71
P01_01,P01_01_000376_000392,376,392,prep site,71
P01_01,P01_01_000384_000400,384,400,prep site,71
P01_01,P01_01_000392_000408,392,408,prep site,71
P01_01,P01_01_000400_000416,400,416,prep site,71
P01_01,P01_01_000408_000424,408,424,prep site,71
P01_01,P01_01_000416_000432,416,432,prep site,71
P01_01,P01_01_000424_000440,424,440,prep site,71
P01_01,P01_01_000432_000448,432,448,prep site,71
P01_01,P01_01_000440_000456,440,456,prep site,71
P01_01,P01_01_000448_000464,448,464,prep site,71
P01_01,P01_01_000456_000472,456,472,prep site,71
P01_01,P01_01_000463_000479,463,479,prep site,71
P01_01,P01_01_000480_000496,480,496,drop swab,37
P01_01,P01_01_000488_000504,488,504,drop swab,37
P01_01,P01_01_000496_000512,496,512,drop swab,37
P01_01,P01_01_000504_000520,504,520,drop swab,37
P01_01,P01_01_000512_000528,512,528,drop swab,37
P01_01,P01_01_000520_000536,520,536,drop swab,37
P01_01,P01_01_000523_000539,523,539,drop swab,37
P01_01,P01_01_000540_000556,540,556,take syringe,108
P01_01,P01_01_000548_000564,548,564,take syringe,108
P01_01,P01_01_000556_000572,556,572,take syringe,108
P01_01,P01_01_000564_000580,564,580,take syringe,108
P01_01,P01_01_000572_000588,572,588,take syringe,108
P01_01,P01_01_000580_000596,580,596,take syringe,108
P01_01,P01_01_000588_000604,588,604,take syringe,108
P01_01,P01_01_000596_000612,596,612,take syringe,108
P01_01,P01_01_000604_000620,604,620,take syringe,108
P01_01,P01_01_000612_000628,612,628,take syringe,108
P01_01,P01_01_000620_000636,620,636,take syringe,108
P01_01,P01_01_000628_000644,628,644,take syringe,108
P01_01,P01_01_000636_000652,636,652,take syringe,108
P01_01,P01_01_000644_000660,644,660,take syringe,108
P01_01,P01_01_000652_000668,652,668,take syringe,108
P01_01,P01_01_000660_000676,660,676,take syringe,108
P01_01,P01_01_000668_000684,668,684,take syringe,108
P01_01,P01_01_000676_000692,676,692,take syringe,108
P01_01,P01_01_000684_000700,684,700,take syringe,108
P01_01,P01_01_000692_000708,692,708,take syringe,108
P01_01,P01_01_000700_000716,700,716,take syringe,108
P01_01,P01_01_000708_000724,708,724,take syringe,108
P01_01,P01_01_000716_000732,716,732,take syringe,108
P01_01,P01_01_000724_000740,724,740,take syringe,108
P01_01,P01_01_000732_000748,732,748,take syringe,108
P01_01,P01_01_000740_000756,740,756,take syringe,108
P01_01,P01_01_000748_000764,748,764,take syringe,108
P01_01,P01_01_000756_000772,756,772,take syringe,108
P01_01,P01_01_000764_000780,764,780,take syringe,108
P01_01,P01_01_000772_000788,772,788,take syringe,108
P01_01,P01_01_000780_000796,780,796,take syringe,108
P01_01,P01_01_000788_000804,788,804,take syringe,108
P01_01,P01_01_000796_000812,796,812,take syringe,108
P01_01,P01_01_000804_000820,804,820,take syringe,108
P01_01,P01_01_000812_000828,812,828,take syringe,108
P01_01,P01_01_000820_000836,820,836,take syringe,108
P01_01,P01_01_000828_000844,828,844,take syringe,108
P01_01,P01_01_000836_000852,836,852,take syringe,108
P01_01,P01_01_000844_000860,844,860,take syringe,108
P01_01,P01_01_000852_000868,852,868,take syringe,108
P01_01,P01_01_000860_000876,860,876,take syringe,108
P01_01,P01_01_000868_000884,868,884,take syringe,108
P01_01,P01_01_000876_000892,876,892,take syringe,108
P01_01,P01_01_000884_000900,884,900,take syringe,108
P01_01,P01_01_000892_000908,892,908,take syringe,108
P01_01,P01_01_000900_000916,900,916,take syringe,108
P01_01,P01_01_000908_000924,908,924,take syringe,108
P01_01,P01_01_000916_000932,916,932,take syringe,108
P01_01,P01_01_000924_000940,924,940,take syringe,108
P01_01,P01_01_000932_000948,932,948,take syringe,108
P01_01,P01_01_000940_000956,940,956,take syringe,108
P01_01,P01_01_000948_000964,948,964,take syringe,108
P01_01,P01_01_000956_000972,956,972,take syringe,108
P01_01,P01_01_000964_000980,964,980,take syringe,108
P01_01,P01_01_000972_000988,972,988,take syringe,108
P01_01,P01_01_000980_000996,980,996,take syringe,108
P01_01,P01_01_000988_001004,988,1004,take syringe,108
P01_01,P01_01_000996_001012,996,1012,take syringe,108
P01_01,P01_01_001004_001020,1004,1020,take syringe,108
P01_01,P01_01_001012_001028,1012,1028,take syringe,108
P01_01,P01_01_001020_001036,1020,1036,take syringe,108
P01_01,P01_01_001028_001044,1028,1044,take syringe,108
P01_01,P01_01_001036_001052,1036,1052,take syringe,108
P01_01,P01_01_001044_001060,1044,1060,take syringe,108
P01_01,P01_01_001052_001068,1052,1068,take syringe,108
P01_01,P01_01_001060_001076,1060,1076,take syringe,108
P01_01,P01_01_001062_001078,1062,1078,take syringe,108
P01_01,P01_01_001079_001095,1079,1095,inject lidocaine,57
P01_01,P01_01_001087_001103,1087,1103,inject lidocaine,57
P01_01,P01_01_001095_001111,1095,1111,inject lidocaine,57
P01_01,P01_01_001103_001119,1103,1119,inject lidocaine,57
P01_01,P01_01_001111_001127,1111,1127,inject lidocaine,57
P01_01,P01_01_001119_001135,1119,1135,inject lidocaine,57
P01_01,P01_01_001127_001143,1127,1143,inject lidocaine,57
P01_01,P01_01_001135_001151,1135,1151,inject lidocaine,57
P01_01,P01_01_001143_001159,1143,1159,inject lidocaine,57
P01_01,P01_01_001151_001167,1151,1167,inject lidocaine,57
P01_01,P01_01_001159_001175,1159,1175,inject lidocaine,57
P01_01,P01_01_001167_001183,1167,1183,inject lidocaine,57
P01_01,P01_01_001175_001191,1175,1191,inject lidocaine,57
P01_01,P01_01_001183_001199,1183,1199,inject lidocaine,57
P01_01,P01_01_001191_001207,1191,1207,inject lidocaine,57
P01_01,P01_01_001199_001215,1199,1215,inject lidocaine,57
P01_01,P01_01_001207_001223,1207,1223,inject lidocaine,57
P01_01,P01_01_001215_001231,1215,1231,inject lidocaine,57
P01_01,P01_01_001223_001239,1223,1239,inject lidocaine,57
P01_01,P01_01_001231_001247,1231,1247,inject lidocaine,57
P01_01,P01_01_001239_001255,1239,1255,inject lidocaine,57
P01_01,P01_01_001247_001263,1247,1263,inject lidocaine,57
P01_01,P01_01_001255_001271,1255,1271,inject lidocaine,57
P01_01,P01_01_001263_001279,1263,1279,inject lidocaine,57
P01_01,P01_01_001271_001287,1271,1287,inject lidocaine,57
P01_01,P01_01_001279_001295,1279,1295,inject lidocaine,57
P01_01,P01_01_001287_001303,1287,1303,inject lidocaine,57
P01_01,P01_01_001295_001311,1295,1311,inject lidocaine,57
P01_01,P01_01_001302_001318,1302,1318,inject lidocaine,57
P01_01,P01_01_001319_001335,1319,1335,drop syringe,38
P01_01,P01_01_001327_001343,1327,1343,drop syringe,38
P01_01,P01_01_001335_001351,1335,1351,drop syringe,38
P01_01,P01_01_001343_001359,1343,1359,drop syringe,38
P01_01,P01_01_001351_001367,1351,1367,drop syringe,38
P01_01,P01_01_001359_001375,1359,1375,drop syringe,38
P01_01,P01_01_001362_001378,1362,1378,drop syringe,38
P01_01,P01_01_001379_001395,1379,1395,take scalpel,104
P01_01,P01_01_001387_001403,1387,1403,take scalpel,104
P01_01,P01_01_001395_001411,1395,1411,take scalpel,104
P01_01,P01_01_001403_001419,1403,1419,take scalpel,104
P01_01,P01_01_001411_001427,1411,1427,take scalpel,104
P01_01,P01_01_001419_001435,1419,1435,take scalpel,104
P01_01,P01_01_001427_001443,1427,1443,take scalpel,104
P01_01,P01_01_001435_001451,1435,1451,take scalpel,104
P01_01,P01_01_001443_001459,1443,1459,take scalpel,104
P01_01,P01_01_001451_001467,1451,1467,take scalpel,104
P01_01,P01_01_001459_001475,1459,1475,take scalpel,104
P01_01,P01_01_001467_001483,1467,1483,take scalpel,104
P01_01,P01_01_001475_001491,1475,1491,take scalpel,104
P01_01,P01_01_001483_001499,1483,1499,take scalpel,104
P01_01,P01_01_001491_001507,1491,1507,take scalpel,104
P01_01,P01_01_001499_001515,1499,1515,take scalpel,104
P01_01,P01_01_001507_001523,1507,1523,take scalpel,104
P01_01,P01_01_001515_001531,1515,1531,take scalpel,104
P01_01,P01_01_001523_001539,1523,1539,take scalpel,104
P01_01,P01_01_001531_001547,1531,1547,take scalpel,104
P01_01,P01_01_001539_001555,1539,1555,take scalpel,104
P01_01,P01_01_001547_001563,1547,1563,take scalpel,104
P01_01,P01_01_001555_001571,1555,1571,take scalpel,104
P01_01,P01_01_001563_001579,1563,1579,take scalpel,104
P01_01,P01_01_001571_001587,1571,1587,take scalpel,104
P01_01,P01_01_001579_001595,1579,1595,take scalpel,104
P01_01,P01_01_001587_001603,1587,1603,take scalpel,104
P01_01,P01_01_001595_001611,1595,1611,take scalpel,104
P01_01,P01_01_001603_001619,1603,1619,take scalpel,104
P01_01,P01_01_001611_001627,1611,1627,take scalpel,104
P01_01,P01_01_001619_001635,1619,1635,take scalpel,104
P01_01,P01_01_001627_001643,1627,1643,take scalpel,104
P01_01,P01_01_001635_001651,1635,1651,take scalpel,104
P01_01,P01_01_001643_001659,1643,1659,take scalpel,104
P01_01,P01_01_001651_001667,1651,1667,take scalpel,104
P01_01,P01_01_001659_001675,1659,1675,take scalpel,104
P01_01,P01_01_001662_001678,1662,1678,take scalpel,104
P01_01,P01_01_001679_001695,1679,1695,palpate landmark,67
P01_01,P01_01_001687_001703,1687,1703,palpate landmark,67
P01_01,P01_01_001695_001711,1695,1711,palpate landmark,67
P01_01,P01_01_001703_001719,1703,1719,palpate landmark,67
P01_01,P01_01_001711_001727,1711,1727,palpate landmark,67
P01_01,P01_01_001719_001735,1719,1735,palpate landmark,67
P01_01,P01_01_001722_001738,1722,1738,palpate landmark,67
P01_01,P01_01_001739_001755,1739,1755,incise skin,53
P01_01,P01_01_001747_001763,1747,1763,incise skin,53
P01_01,P01_01_001755_001771,1755,1771,incise skin,53
P01_01,P01_01_001763_001779,1763,1779,incise skin,53
P01_01,P01_01_001771_001787,1771,1787,incise skin,53
P01_01,P01_01_001779_001795,1779,1795,incise skin,53
P01_01,P01_01_001787_001803,1787,1803,incise skin,53
P01_01,P01_01_001795_001811,1795,1811,incise skin,53
P01_01,P01_01_001803_001819,1803,1819,incise skin,53
P01_01,P01_01_001811_001827,1811,1827,incise skin,53
P01_01,P01_01_001819_001835,1819,1835,incise skin,53
P01_01,P01_01_001827_001843,1827,1843,incise skin,53
P01_01,P01_01_001835_001851,1835,1851,incise skin,53
P01_01,P01_01_001842_001858,1842,1858,incise skin,53
P01_01,P01_01_001859_001875,1859,1875,insert finger,60
P01_01,P01_01_001867_001883,1867,1883,insert finger,60
P01_01,P01_01_001875_001891,1875,1891,insert finger,60
P01_01,P01_01_001883_001899,1883,1899,insert finger,60
P01_01,P01_01_001891_001907,1891,1907,insert finger,60
P01_01,P01_01_001899_001915,1899,1915,insert finger,60
P01_01,P01_01_001907_001923,1907,1923,insert finger,60
P01_01,P01_01_001915_001931,1915,1931,insert finger,60
P01_01,P01_01_001923_001939,1923,1939,insert finger,60
P01_01,P01_01_001931_001947,1931,1947,insert finger,60
P01_01,P01_01_001939_001955,1939,1955,insert finger,60
P01_01,P01_01_001947_001963,1947,1963,insert finger,60
P01_01,P01_01_001955_001971,1955,1971,insert finger,60
P01_01,P01_01_001963_001979,1963,1979,insert finger,60
P01_01,P01_01_001971_001987,1971,1987,insert finger,60
P01_01,P01_01_001979_001995,1979,1995,insert finger,60
P01_01,P01_01_001987_002003,1987,2003,insert finger,60
P01_01,P01_01_001995_002011,1995,2011,insert finger,60
P01_01,P01_01_002003_002019,2003,2019,insert finger,60
P01_01,P01_01_002011_002027,2011,2027,insert finger,60
P01_01,P01_01_002019_002035,2019,2035,insert finger,60
P01_01,P01_01_002027_002043,2027,2043,insert finger,60
P01_01,P01_01_002035_002051,2035,2051,insert finger,60
P01_01,P01_01_002043_002059,2043,2059,insert finger,60
P01_01,P01_01_002051_002067,2051,2067,insert finger,60
P01_01,P01_01_002059_002075,2059,2075,insert finger,60
P01_01,P01_01_002067_002083,2067,2083,insert finger,60
P01_01,P01_01_002075_002091,2075,2091,insert finger,60
P01_01,P01_01_002081_002097,2081,2097,insert finger,60
P01_01,P01_01_002098_002114,2098,2114,remove finger,78
P01_01,P01_01_002106_002122,2106,2122,remove finger,78
P01_01,P01_01_002114_002130,2114,2130,remove finger,78
P01_01,P01_01_002122_002138,2122,2138,remove finger,78
P01_01,P01_01_002130_002146,2130,2146,remove finger,78
P01_01,P01_01_002138_002154,2138,2154,remove finger,78
