img_name,split
P03_02_785,train
P05_01_1323,train
P01_01_1232,train
P04_05_1792,train
P04_01_1114,train
P03_01_2489,train
P03_01_852,train
P01_01_2325,train
P02_03_1298,train
P02_03_2080,train
P03_01_896,train
P02_05_1635,train
P01_01_1334,train
P01_01_538,train
P04_05_2399,train
P04_05_337,train
P05_03_581,train
P04_05_1124,train
P04_03_195,train
P02_02_372,train
P05_02_1089,train
P05_02_213,train
P02_05_360,train
P03_02_1158,train
P01_01_1578,train
P05_02_526,train
P04_05_515,train
P03_02_2211,train
P04_05_1790,train
P02_07_185,train
P04_05_1438,train
P01_02_1921,train
P02_07_270,train
P02_02_2600,train
P03_03_1821,train
P03_01_2058,train
P03_03_994,train
P01_02_822,train
P02_05_1123,train
P03_01_2251,train
P05_05_618,train
P05_02_1379,train
P03_03_1140,train
P04_03_208,train
P03_03_372,train
P05_05_72,train
P02_06_1199,train
P02_06_2975,train
P03_01_201,train
P02_03_2612,train
P01_01_691,train
P04_05_552,train
P04_05_1911,train
P02_06_1670,train
P03_02_2177,train
P05_02_209,train
P04_05_1672,train
P02_05_980,train
P01_01_1153,train
P04_05_491,train
P01_01_3617,train
P01_01_2718,train
P03_02_1610,train
P02_06_3279,train
P02_05_1191,train
P02_06_1184,train
P01_02_2464,train
P03_02_1461,train
P03_01_1178,train
P04_01_2549,train
P05_05_545,train
P04_01_244,train
P01_02_3174,train
P05_03_955,train
P02_02_251,train
P05_02_569,train
P02_06_2366,train
P01_01_3162,train
P04_01_2112,train
P04_01_398,train
P02_05_363,train
P03_01_1509,train
P05_05_555,train
P01_01_1516,train
P04_03_486,train
P01_01_3638,train
P02_06_2756,train
P01_01_1101,train
P05_02_1043,train
P02_06_1798,train
P02_02_727,train
P02_03_1471,train
P02_02_1216,train
P04_05_292,train
P01_01_3659,train
P05_05_302,train
P03_03_1859,train
P05_01_1119,train
P01_01_3793,train
P04_05_1027,train
P04_01_2050,train
P02_02_632,train
P02_02_1904,train
P05_01_1396,train
P01_01_357,train
P03_01_2448,train
P05_05_620,train
P04_03_684,train
P05_03_359,train
P02_02_233,train
P04_01_361,train
P03_03_954,train
P04_01_1736,train
P05_03_546,train
P01_02_423,train
P05_02_758,train
P02_02_1487,train
P02_02_1565,train
P05_05_23,train
P03_03_1258,train
P03_03_1066,train
P05_05_474,train
P02_03_680,train
P04_05_927,train
P01_02_108,train
P03_03_1880,train
P01_02_1005,train
P01_02_1741,train
P04_03_657,train
P04_05_735,train
P02_06_2292,train
P02_02_1319,train
P02_03_2861,train
P02_05_2767,train
P01_02_1038,train
P02_03_2619,train
P02_06_3208,train
P05_01_593,train
P04_05_744,train
P05_02_1584,train
P01_01_3595,train
P04_01_1333,train
P03_03_2086,train
P01_01_3718,train
P02_06_2573,train
P01_01_2791,train
P05_03_225,train
P03_03_2265,train
P03_02_386,train
P05_03_411,train
P02_03_2579,train
P01_01_640,train
P01_01_1559,train
P02_02_1494,train
P03_02_2238,train
P01_01_3059,train
P04_03_267,train
P04_01_2334,train
P05_03_321,train
P05_02_1356,train
P01_01_1493,train
P03_02_1544,train
P03_01_1698,train
P02_05_1388,train
P04_05_2080,train
P02_03_1492,train
P01_02_2622,train
P02_03_2138,train
P01_02_1661,train
P03_01_908,train
P03_01_314,train
P02_07_934,train
P01_02_1544,train
P05_03_349,train
P02_03_977,train
P02_06_2957,train
P02_02_1785,train
P02_05_1956,train
P02_03_1112,train
P03_01_1063,train
P05_02_175,train
P01_02_943,train
P01_01_3198,train
P03_03_1044,train
P02_03_892,train
P02_07_674,train
P05_01_344,train
